SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.0115787,0,26,1,0,106.851,41848,3,8189,1,52023.4,0,0,5,1,0.21728,1,0,1,0
0.0170141,0,38,0,0,193.773,2610,11,8190,0,17175.6,0,0,26,0,0.442176,1,0,1,0
0.0456638,0,102,0,0,208.364,37,29,8188,0,7031.25,0,0,57,0,0.453376,1,0,1,0
0.0828406,0,185,0,0,205.163,43,43,8189,0,4069.64,0,0,69,0,0.404992,1,0,1,0
0.0951491,0,213,0,0,205.106,44,44,8188,0,2851.26,0,0,71,0,0.372736,1,0,1,0
0.0993959,0,222,0,0,206.029,46,46,8189,0,2246.07,0,0,67,0,0.581952,1,0,1,0
1.70162,0,3800,0,0,207.759,189925,2958,8133,0,42.7135,0,0,66,0,160.422,1,0,1,0
4.7616,0,10632,4739,0,207.028,209741,8171,8171,4739,155,0,0,10,86,202.248,4740,0,4740,0
3.46525,0,7739,8171,0,204.216,197949,3528,8154,7739,88.876,0,0,37,0,296.921,12479,0,12911,0
3.0875,0,6895,8773,0,204.216,197949,8154,8154,2269,144,0,0,0,25,296.921,14748,0,21684,0
6.18294,0,13808,2114,0,204.824,186247,6856,8098,4626,44,0,0,27,28,277.411,19374,0,23798,0
3.6091,0,8061,11165,0,205.232,206634,6942,7972,6819,78.0958,0,0,9,27,259.478,26193,0,34963,0
2.93309,0,6550,8649,0,205.232,206634,8191,8191,5301,99,0,0,0,7,259.478,31494,0,43612,0
4.87268,0,10882,7896,0,204.945,198940,7896,8191,8740,114,0,0,9,4,273.534,40234,0,51508,0
4.07998,0,9109,136,0,204.833,172768,5640,8191,5261,134,0,0,6,18,276.407,45495,0,51644,0
3.36215,0,7508,8205,0,205.064,195510,1886,8053,1671,106.239,0,0,16,1,298.42,47166,0,59849,0
5.75388,0,12850,4508,0,204.965,184758,7969,7969,4508,159,0,0,18,62,246.983,51674,0,64357,0
2.81934,0,6298,7969,0,205.411,211544,3575,8108,6298,101.119,0,0,26,0,288.316,57972,0,72326,0
4.12794,0,9232,580,0,204.909,162474,1943,8191,2251,102.676,0,0,43,24,260.674,60223,0,72906,0
4.00267,0,8953,770,0,204.943,187998,8191,8191,770,125,0,0,17,42,259.61,60993,0,73676,0
4.01879,0,8983,8241,0,205.48,200167,3699,8191,3735,122,0,0,20,5,259.755,64728,0,81917,0
3.3845,0,7557,7893,0,205.589,206619,569,569,1830,138,0,0,3,13,268.941,66558,0,89810,0
6.81378,0,15216,4775,0,205.497,188941,8060,8060,4775,51,0,0,27,53,255.267,71333,0,94585,0
4.31447,0,9634,8535,0,205.122,198686,8170,8170,8535,63.4857,0,0,7,3,273.357,79868,0,103120,0
2.76961,0,6184,8595,0,204.814,207457,6303,8169,6184,86.0617,0,0,6,23,265.086,86052,0,111715,0
2.67452,0,5975,8585,0,204.814,207457,8191,8191,4087,110,0,0,0,14,265.086,90139,0,120300,0
3.72649,0,8327,213,0,204.692,212090,1388,6463,3172,146.746,0,0,21,12,295.493,93311,0,120513,0
6.34006,0,14195,3377,0,204.75,189377,7961,7961,3377,102,0,0,41,50,245.728,96688,0,123890,0
2.62024,0,5850,8385,0,204.626,201625,6953,8103,5850,96.1175,0,0,5,10,268.563,102538,0,132275,0
4.34927,0,9711,7323,0,204.637,203262,6984,7852,9341,109,0,0,1,1,265.188,111879,0,139598,0
1.54514,0,3450,7856,0,204.629,190274,340,340,2242,120.772,0,0,2,1,284.992,114121,0,147454,0
5.28855,0,11809,2556,0,204.928,197617,7884,8073,2531,96,0,0,15,48,288.358,116652,0,150010,0
1.7856,0,3998,8264,0,204.971,194341,5974,7894,3809,127.447,0,0,6,10,292.881,120461,0,158274,0
5.25956,0,11750,1823,0,204.56,213935,5234,8145,6285,100.463,0,0,26,36,291.447,126746,0,160097,0
2.82059,0,6322,8469,0,204.652,214291,6689,6978,3411,121.922,0,0,4,12,286.658,130157,0,168566,0
4.00492,0,8942,70,0,204.703,178575,1875,8068,1164,106.004,0,0,26,4,285.965,131321,0,168636,0
5.4683,0,12209,4176,0,205.451,212187,7802,7802,4176,111,0,0,18,50,273.299,135497,0,172812,0
4.05301,0,9063,7802,0,206.106,197303,5342,8052,7802,76.5754,0,0,22,0,257.009,143299,0,180614,0
2.58927,0,5781,9383,0,206.106,197303,8052,8052,3071,111,0,0,0,17,257.009,146370,0,189997,0
4.50124,0,10055,202,0,204.82,194562,4074,8182,5368,97,0,0,13,7,252.323,151738,0,190199,0
3.79383,0,8475,8298,0,204.542,194533,6990,7778,2637,131.592,0,0,13,21,251.745,154375,0,198497,0
7.37276,0,16474,4715,0,204.647,176081,8190,8190,5525,50,0,0,28,42,266.866,159900,0,203212,0
3.23394,0,7228,8906,0,204.985,190766,7142,8044,7227,48.1928,0,0,6,8,261.365,167127,0,212118,0
2.55129,0,5698,9016,0,204.985,190766,8191,8191,4649,62,0,0,0,61,261.365,171776,0,221134,0
3.60968,0,8065,8654,0,204.793,179875,8191,8191,7031,77,0,0,5,11,244.692,178807,0,229788,0
4.55324,0,10165,648,0,205.132,199444,8144,8144,8317,93,0,0,7,13,249.034,187124,0,230436,0
3.7723,0,8423,8587,0,204.956,190596,3323,8130,5039,111,0,0,9,16,241.729,192163,0,239023,0
4.20111,0,9384,153,0,204.973,194876,2955,7982,153,44.8825,0,0,57,12,303.195,192316,0,239176,0
4.24097,0,9477,2749,0,204.64,202747,8186,8186,2749,141,0,0,12,62,295.473,195065,0,241925,0
3.32267,0,7423,8186,0,204.675,189400,1477,3988,5946,97.635,0,0,23,0,268.169,201011,0,250111,0
3.65841,0,8169,7841,0,204.651,181014,7464,8190,1579,138,0,0,7,12,258.694,202590,0,257952,0
3.59548,0,8033,223,0,205.164,203252,3811,8157,670,126,0,0,36,16,270.908,203260,0,258175,0
4.73047,0,10567,1125,0,205.633,200896,7459,8185,1125,126,0,0,32,37,287.525,204385,0,259300,0
1.93466,0,4322,8226,0,205.399,187929,5845,7519,3596,133.471,0,0,5,4,294.892,207981,0,267526,0
5.9565,0,13301,2331,0,205.779,185478,6281,8191,3752,60,0,0,31,25,269.382,211733,0,269857,0
3.54006,0,7917,10443,0,205.449,195186,7520,7693,6007,76.1208,0,0,3,38,215.88,217740,0,280300,0
3.09305,0,6908,8554,0,205.228,201672,8191,8191,5871,94,0,0,3,8,236.844,223611,0,288854,0
4.98578,0,11147,325,0,204.711,211164,7267,8080,7798,152,0,0,10,16,280.628,231409,0,289179,0
2.22399,0,4965,8461,0,204.796,198999,895,4310,3257,145.371,0,0,3,14,291.947,234666,0,297640,0
4.15325,0,9276,451,0,204.676,176666,3204,7957,451,107.939,0,0,53,20,240.369,235117,0,298091,0
3.91371,0,8748,7880,0,205.179,191084,7493,7998,794,139,0,0,21,15,275.82,235911,0,305971,0
5.77033,0,12883,2686,0,205.391,200379,6313,8191,4142,53,0,0,27,39,254.105,240053,0,308657,0
3.23247,0,7220,9860,0,205.005,208248,7042,7723,5342,82.6838,0,0,5,31,244.872,245395,0,318517,0
4.50074,0,10056,7802,0,205.078,210554,6588,6978,9296,114.982,0,0,3,5,246.731,254691,0,326319,0
2.10688,0,4708,6978,0,205.078,210554,6978,6978,4318,114.982,0,0,0,0,246.731,259009,0,333297,0
3.8262,0,8543,153,0,205.229,213460,7107,8175,946,135,0,0,7,6,277.488,259955,0,333450,0
3.80953,0,8505,7668,0,205.306,200615,3362,8127,1575,40.8037,0,0,27,0,268.057,261530,0,341118,0
5.5702,0,12446,13075,0,205.214,189755,8191,8191,7040,60,0,0,5,46,269.253,268570,0,354193,0
3.42713,0,7672,640,0,205.36,191415,8191,8191,6675,75,0,0,4,8,256.647,275245,0,354833,0
4.92283,0,10990,8709,0,205.174,203610,8113,8113,8673,99,0,0,10,32,266.138,283918,0,363542,0
3.06622,0,6851,8598,0,205.224,186194,6935,8191,6851,94.7775,0,0,4,4,254.051,290769,0,372140,0
2.14626,0,4792,8358,0,205.224,186194,8191,8191,3536,121,0,0,0,11,254.051,294305,0,380498,0
3.35175,0,7513,326,0,204.947,207699,4656,8154,529,85,0,0,22,12,263.433,294834,0,380824,0
3.18371,0,7112,8467,0,205.059,184716,5899,7062,3417,149.026,0,0,8,28,281.114,298251,0,389291,0
4.04951,0,9056,238,0,205.046,192469,3697,8102,1752,108,0,0,39,9,269.705,300003,0,389529,0
2.84803,0,6361,8478,0,205.081,197796,85,521,1867,192.289,0,0,2,18,273.244,301870,0,398007,0
4.12664,0,9228,3,0,204.937,204135,4446,8119,3,39,0,0,52,1,285.789,301873,0,398010,0
3.99245,0,8958,12403,0,205.089,196996,8176,8176,5022,107,0,0,4,95,280.188,306895,0,410413,0
4.69839,0,10497,313,0,204.505,190706,8168,8168,7658,106,0,0,22,10,256.582,314553,0,410726,0
2.33994,0,5240,8669,0,204.314,194433,1300,8083,3832,109,0,0,8,8,251.505,318385,0,419395,0
5.10357,0,11423,1552,0,204.861,198696,7467,8191,1552,102,0,0,23,50,275.005,319937,0,420947,0
1.59259,0,3557,8502,0,205.309,199942,6720,8191,2833,160.061,0,0,7,11,264.042,322770,0,429449,0
3.63198,0,8125,0,0,204.863,197268,2126,8191,4076,69.6979,0,0,30,0,312.753,326846,0,429449,0
4.97229,0,11112,4008,0,205.022,209738,8191,8191,4008,90,0,0,9,77,289.983,330854,0,433457,0
4.6503,0,10393,16227,0,204.79,196285,8036,8036,9494,86.4966,0,0,4,0,257.033,340348,0,449684,0
4.43737,0,9912,108,0,205.308,211583,3757,8191,6841,108,0,0,12,16,284.697,347189,0,449792,0
3.74439,0,8365,7993,0,205.391,201434,1391,1391,3008,115.651,0,0,4,8,281.714,350197,0,457785,0
5.11301,0,11417,2240,0,205.13,182278,8191,8191,2238,122,0,0,20,60,270.223,352435,0,460025,0
2.51431,0,5616,8383,0,204.868,175085,4616,8191,5616,98.5539,0,0,15,4,274.976,358051,0,468408,0
4.09937,0,9153,678,0,205.511,196773,4740,8191,3248,156,0,0,17,18,286.181,361299,0,469086,0
3.2991,0,7372,6587,0,205.127,198707,1901,8030,1371,101.417,0,0,24,0,266.156,362670,0,475673,0
3.87637,0,8658,478,0,204.853,202638,8187,8187,478,140,0,0,16,30,254.829,363148,0,476151,0
2.40728,0,5376,8187,0,204.131,198883,2351,7933,1434,58.1637,0,0,14,0,267.537,364582,0,484338,0
5.47758,0,12235,5029,0,204.42,204043,8191,8191,5029,85,0,0,11,51,266.45,369611,0,489367,0
4.95393,0,11079,16382,0,204.69,182951,8191,8191,10038,116,0,0,6,6,254.21,379649,0,505749,0
3.36815,0,7554,0,0,204.793,190484,8191,8191,6344,114.016,0,0,2,0,260.993,385993,0,505749,0
2.11249,0,4719,8191,0,205.368,208050,2114,8048,1871,98.8072,0,0,9,0,261.618,387864,0,513940,0
3.41643,0,7634,6434,0,205.414,212137,1454,2288,2126,151.478,0,0,6,10,260.505,389990,0,520374,0
6.94976,0,15518,5591,0,205.312,212895,8191,8191,5591,71,0,0,32,47,279.394,395581,0,525965,0
4.50415,0,10060,16382,0,205.02,193725,8191,8191,8912,86,0,0,8,13,239.25,404493,0,542347,0
4.19767,0,9378,369,0,204.782,205244,8191,8191,7839,119,0,0,6,14,252.209,412332,0,542716,0
2.87979,0,6438,8191,0,204.965,159036,2630,7829,6438,107.488,0,0,7,0,247.479,418770,0,550907,0
4.04403,0,9030,400,0,205.188,200366,6778,8085,1736,135,0,0,13,19,258.97,420506,0,551307,0
3.76713,0,8437,7787,0,205.24,154524,3508,8191,1566,40.0682,0,0,23,0,256.198,422072,0,559094,0
5.76987,0,12883,13307,0,205.627,145125,8191,8191,7434,58,0,0,6,50,245.569,429506,0,572401,0
4.11406,0,9185,8950,0,205.309,150839,8191,8191,7955,63,0,0,7,2,260.167,437461,0,581351,0
5.74841,0,12834,1976,0,205.01,186256,8191,8191,8844,108,0,0,12,25,270.623,446305,0,583327,0
3.53722,0,7901,8191,0,204.896,149134,5193,8144,6684,98.4323,0,0,8,0,274.813,452989,0,591518,0
2.14997,0,4803,8549,0,204.896,149134,8144,8144,1852,125,0,0,0,12,274.813,454841,0,600067,0
3.63542,0,8129,692,0,205.706,182818,3923,7554,1037,114,0,0,27,21,282.564,455878,0,600759,0
4.00874,0,8954,575,0,204.786,201052,2070,8077,575,97.0873,0,0,57,31,297.316,456453,0,601334,0
3.72835,0,8331,8617,0,205.028,209177,7693,8191,1317,180,0,0,12,34,286.508,457770,0,609951,0
2.80033,0,6255,0,0,205.677,209110,1563,8127,3443,121.13,0,0,19,0,295.789,461213,0,609951,0
6.10777,0,13638,4144,0,204.49,204440,8191,8191,4144,99,0,0,27,65,290.271,465357,0,614095,0
3.29986,0,7370,8191,0,204.484,184985,7080,8191,7370,92.1572,0,0,6,0,273.127,472727,0,622286,0
2.14949,0,4800,8362,0,204.559,172794,7141,7222,3689,113.032,0,0,3,6,267.839,476416,0,630648,0
4.17365,0,9320,250,0,204.742,175906,3487,8191,4314,123.663,0,0,13,8,278.363,480730,0,630898,0
5.95991,0,13306,2936,0,205.561,200274,8191,8191,2844,122,0,0,28,61,273.892,483574,0,633834,0
2.41847,0,5414,8463,0,205.36,180871,5232,7982,5414,88.1311,0,0,23,7,279.173,488988,0,642297,0
4.07185,0,9098,9750,0,205.219,181824,8070,8070,5535,79,0,0,6,28,285.879,494523,0,652047,0
4.97921,0,11125,827,0,204.405,201394,4468,8191,5268,112,0,0,15,17,278.815,499791,0,652874,0
3.12613,0,6993,8255,0,205.339,197706,914,8010,2131,117.144,0,0,6,6,261.515,501922,0,661129,0
5.66422,0,12650,2451,0,205.813,204000,8191,8191,2451,110,0,0,23,40,273.406,504373,0,663580,0
1.9325,0,4316,8381,0,206.044,180903,5778,8191,4316,106.219,0,0,10,7,280.737,508689,0,671961,0
5.31815,0,11895,2697,0,205.601,189600,8191,8191,6762,86,0,0,12,37,287.401,515451,0,674658,0
4.3692,0,9770,8191,0,205.098,196569,5873,8085,8191,81.7799,0,0,6,0,291.44,523642,0,682849,0
2.32203,0,5185,8935,0,205.074,198875,6034,6141,2973,134,0,0,2,21,300.912,526615,0,691784,0
4.97409,0,11114,2,0,204.914,193615,4642,8191,3587,37,0,0,30,1,295.176,530202,0,691786,0
4.74035,0,10590,12895,0,204.914,193615,8191,8191,7041,69,0,0,0,62,295.176,537243,0,704681,0
3.46314,0,7738,8775,0,204.728,205177,8191,8191,6439,87,0,0,5,6,265.721,543682,0,713456,0
4.86049,0,10937,7372,0,204.606,185451,7372,7372,9448,106,0,0,6,5,258.338,553130,0,720828,0
3.12778,0,6989,55,0,204.585,192269,5937,5937,6169,133,0,0,2,3,266.307,559299,0,720883,0
3.98868,0,8906,5937,0,204.737,192909,4144,8063,1608,34.3421,0,0,30,0,286.422,560907,0,726820,0
4.0141,0,8973,4001,0,204.699,184758,8191,8191,4001,111,0,0,8,67,281.295,564908,0,730821,0
5.60609,0,12523,8728,0,204.662,146299,8191,8191,8595,89,0,0,26,12,275.72,573503,0,739549,0
3.6882,0,8235,9770,0,204.575,164107,2124,4229,8235,84.4881,0,0,5,17,277.633,581738,0,749319,0
3.72064,0,8319,989,0,204.377,184827,8172,8172,1129,147,0,0,5,33,275.078,582867,0,750308,0
3.23125,0,7225,8172,0,205.238,204637,1773,8151,4719,120.442,0,0,13,0,289.535,587586,0,758480,0
6.24913,0,13956,4412,0,205.481,213270,8191,8191,4412,90,0,0,29,65,249.154,591998,0,762892,0
3.92478,0,8769,8191,0,205.221,207681,6593,8191,8191,79.295,0,0,12,0,261.219,600189,0,771083,0
