SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.00846888,0,19,1,0,113.615,8,8,8188,1,0,0,0,6,1,0.21728,1,0,1,0
0.0743372,0,166,0,0,203.441,59,59,8191,0,0,0,0,62,0,0.429632,1,0,1,0
0.224387,0,501,0,0,205.278,132,132,8191,0,0,0,0,220,0,0.4592,1,0,1,0
0.327401,0,731,0,0,206.694,197,197,8191,0,0,0,0,337,0,11.3201,1,0,1,0
0.536558,0,1198,0,0,204.936,274,274,8191,0,0,0,0,565,0,35.7213,1,0,1,0
0.700665,0,1565,0,0,206.204,351,351,8189,0,0,0,0,751,0,24.2493,1,0,1,0
0.885385,0,1977,0,0,211.3,429,429,8171,0,0,0,0,954,0,37.7055,1,0,1,0
1.06572,0,2380,0,0,205.435,508,508,8185,0,0,0,0,1155,0,96.0646,1,0,1,0
0.474296,0,1059,2,0,208.387,539,539,8191,2,0,0,0,515,1,65.081,3,0,3,0
0.241401,0,539,539,0,208.387,2,539,8191,539,0,0,0,0,0,65.081,542,0,542,0
0.0747637,0,167,0,0,207.682,58,58,8183,0,0,0,0,67,0,119.915,542,0,542,0
0.226634,0,506,0,0,214.069,132,132,8189,0,0,0,0,219,0,167.024,542,0,542,0
0.313489,0,700,0,0,204.418,195,195,8186,0,0,0,0,321,0,101.081,542,0,542,0
0.539228,0,1204,0,0,223.285,272,272,8189,0,0,0,0,569,0,53.9226,542,0,542,0
0.704043,0,1572,0,0,207.105,350,350,8189,0,0,0,0,751,0,38.9518,542,0,542,0
0.877422,0,1961,0,0,206.389,427,427,8189,0,0,0,0,946,0,89.2192,542,0,542,0
1.04838,0,2341,0,0,204.12,505,505,8187,0,0,0,0,1135,0,58.5402,542,0,542,0
1.07311,0,2396,0,0,206.722,574,574,8187,0,0,0,0,1167,0,49.7679,542,0,542,0
0.998686,0,2230,2,0,204.041,617,617,7576,2,0,0,0,787,1,85.3552,544,0,544,0
1.21715,0,2718,153,0,212.94,667,667,8189,153,0,0,0,1016,5,143.173,697,0,697,0
0.304143,0,682,70,0,207.814,681,681,8190,70,0,0,0,301,3,140.991,767,0,767,0
0.320809,0,717,681,0,207.235,36,36,7567,681,0,0,0,34,0,135.068,1448,0,1448,0
0.172849,0,387,0,0,207.776,107,107,8187,0,0,0,0,159,0,178.345,1448,0,1448,0
0.339519,0,758,0,0,204.647,183,183,8189,0,0,0,0,344,0,155.776,1448,0,1448,0
0.492668,0,1100,0,0,204.852,258,258,8189,0,0,0,0,516,0,89.3227,1448,0,1448,0
