SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
37.1856,0,3195,0,0,205.619,1505,710,8167,0,320.475,0,0,91,0,34.0704,70693,0,89061,0
36.2541,0,3114,0,0,206.781,640,610,8160,0,239.078,0,0,92,0,46.0795,70693,0,89061,0
56.507,0,4856,51,0,221.527,1726,1882,8160,51,60.1228,0,0,65,45,1271.41,70744,0,89112,0
89.6201,0,7696,3331,0,219.367,25740,5201,8172,3331,121,0,0,22,155,92.788,74075,0,92443,0
50.8657,0,4370,1399,0,219.367,25740,8172,8172,1399,282,0,0,0,51,92.788,75474,0,93842,0
37.0089,0,3181,8172,0,210.396,11332,5700,7917,3181,281.41,0,0,34,0,32.0553,78655,0,102014,0
40.9852,0,3523,0,0,205.805,893,2103,8039,3523,271.351,0,0,55,0,48.9565,82178,0,102014,0
41.4324,0,3563,0,0,226.529,5995,929,8147,945,270.895,0,0,59,0,30.4362,83123,0,102014,0
36.2432,0,3113,2415,0,243.368,10080,2403,8172,277,387,0,0,34,12,28.5143,83400,0,104429,0
32.2216,0,2767,0,0,205.247,6029,603,8165,282,364.7,0,0,62,0,51.9501,83682,0,104429,0
33.8513,0,2908,0,0,205.163,6029,602,8153,0,353.609,0,0,94,0,37.7628,83682,0,104429,0
34.8208,0,2991,0,0,205.354,2647,642,8162,0,344.236,0,0,92,0,37.0523,83682,0,104429,0
79.0709,0,6794,2132,0,221.817,2582,3128,8169,2000,59,0,0,70,151,1266.32,85682,0,106561,0
31.7732,0,2732,2600,0,226.044,1023,2117,8182,2732,58.3448,0,0,19,3,122.863,88414,0,109161,0
66.042,0,5674,3895,0,209.678,14461,3249,8171,3895,58.3428,0,0,14,0,44.0411,92309,0,113056,0
131.246,0,11275,12024,0,213.768,14691,7905,8084,6333,107.999,0,0,3,60,39.2887,98642,0,125080,0
72.4103,0,6227,152,0,216.507,14871,8191,8191,5843,138,0,0,3,8,532.896,104485,0,125232,0
56.9739,0,4894,8191,0,218.578,24042,6756,7219,4894,136.867,0,0,9,0,179.228,109379,0,133423,0
71.8319,0,6169,7219,0,223.662,18956,6542,7547,5706,192.232,0,0,3,24,1043.64,115085,0,140642,0
59.5276,0,5118,0,0,223.662,18956,6850,7547,4810,192.232,0,0,0,0,1043.64,119895,0,140642,0
20.359,0,1751,7647,0,225.146,16782,5414,6107,1054,347.567,0,0,3,12,709.328,120949,0,148289,0
33.3424,0,2865,0,0,215.918,39991,1320,7290,2865,333.651,0,0,13,0,154.697,123814,0,148289,0
36.638,0,3147,0,0,223.25,1577,746,8157,777,325.891,0,0,54,0,29.3763,124591,0,148289,0
42.0095,0,3610,24,0,206.614,803,781,8168,14,62,0,0,94,4,885.924,124605,0,148313,0
108.177,0,9295,2887,0,210.781,17624,5903,8191,2897,114,0,0,17,94,182.326,127502,0,151200,0
50.0435,0,4300,9890,0,210.781,17624,8191,8191,2012,267,0,0,0,72,182.326,129514,0,161090,0
44.9637,0,3865,0,0,207.099,1049,4952,8153,3865,212.447,0,0,56,0,379.049,133379,0,161090,0
47.9449,0,4119,75,0,216.194,613,613,8172,3437,232,0,0,43,24,151.144,136816,0,161165,0
48.7085,0,4187,40,0,210.019,25249,1685,8141,40,73.7452,0,0,60,9,2902.52,136856,0,161205,0
94.0701,0,8084,2875,0,209.828,25242,6781,8191,2875,351,0,0,3,94,2502.97,139731,0,164080,0
34.9629,0,3006,8091,0,208.923,13212,7040,8183,1749,266.737,0,0,12,5,1942.34,141480,0,172171,0
73.4789,0,6311,0,0,207.885,13096,5293,8191,6311,136.073,0,0,36,0,171.342,147791,0,172171,0
