SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.360992,0,31,0,0,210.045,15,14,8191,0,0,0,0,13,0,94.0576,2682,0,2682,0
2.26986,0,195,0,0,206.295,68,68,8189,0,0,0,0,73,0,51.5075,2682,0,2682,0
6.51884,0,560,0,0,207.356,142,142,8189,0,0,0,0,245,0,56.9121,2682,0,2682,0
10.6643,0,916,0,0,208.422,218,218,8189,0,0,0,0,426,0,32.6726,2682,0,2682,0
14.4986,0,1245,0,0,206.759,292,292,8189,0,0,0,0,591,0,33.5812,2682,0,2682,0
19.0375,0,1635,0,0,213.06,368,368,8189,0,0,0,0,784,0,31.7524,2682,0,2682,0
22.062,0,1896,0,0,206.154,440,440,8189,0,0,0,0,915,0,32.5096,2682,0,2682,0
26.9753,0,2317,6,0,209.611,500,500,7715,6,0,0,0,883,3,41.595,2688,0,2688,0
17.105,0,1470,96,0,219.385,529,529,8189,96,0,0,0,457,29,32.8008,2784,0,2784,0
21.3014,0,1830,65,0,205.607,551,551,8191,65,0,0,0,381,15,44.938,2849,0,2849,0
22.9468,0,1974,186,0,206.133,575,575,8189,186,0,0,0,413,5,35.3633,3035,0,3035,0
5.61597,0,483,46,0,239.55,586,586,8179,46,0,0,0,209,11,32.9871,3081,0,3081,0
6.89074,0,592,586,0,232.821,4,4,8189,586,0,0,0,2,0,32.0902,3667,0,3667,0
0.907106,0,78,0,0,206.083,32,32,8187,0,0,0,0,28,0,30.5876,3667,0,3667,0
4.25774,0,366,0,0,207.562,103,103,8189,0,0,0,0,150,0,32.2766,3667,0,3667,0
8.48464,0,729,0,0,207.378,178,178,8189,0,0,0,0,329,0,40.4652,3667,0,3667,0
12.338,0,1060,0,0,205.758,252,252,8189,0,0,0,0,497,0,30.8788,3667,0,3667,0
17.1041,0,1470,0,0,207.816,329,329,8189,0,0,0,0,698,0,187.277,3667,0,3667,0
19.6941,0,1697,0,0,205.022,400,399,8189,0,0,0,0,815,0,55.5027,3667,0,3667,0
24.8302,0,2138,0,0,206.608,476,476,8189,0,0,0,0,1034,0,40.2904,3667,0,3667,0
29.6822,0,2549,2,0,210.011,537,537,7666,2,0,0,0,979,2,37.029,3669,0,3669,0
18.7232,0,1608,169,0,235.625,566,566,8190,169,0,0,0,487,17,67.6283,3838,0,3838,0
0.139744,0,12,3,0,232.728,566,566,8182,3,0,0,0,1,2,67.6283,3841,0,3841,0
6.77378,0,582,566,0,219.8,8,8,8189,566,0,0,0,6,0,49.1429,4407,0,4407,0
1.81545,0,156,0,0,204.503,56,56,8189,0,0,0,0,57,0,34.7926,4407,0,4407,0
5.73967,0,493,0,0,205.145,129,129,8189,0,0,0,0,212,0,32.5678,4407,0,4407,0
8.50055,0,730,0,0,205.726,195,195,8189,0,0,0,0,337,0,50.1679,4407,0,4407,0
13.7565,0,1183,0,0,206.925,272,272,8189,0,0,0,0,558,0,35.4798,4407,0,4407,0
18.5102,0,1590,0,0,203.824,350,350,8189,0,0,0,0,759,0,39.9992,4407,0,4407,0
23.0536,0,1981,0,0,207.631,428,428,8189,0,0,0,0,954,0,99.0313,4407,0,4407,0
20.9642,0,1801,10,0,209.381,489,489,8189,10,0,0,0,867,3,34.2218,4417,0,4417,0
