SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.0229281,0,2,0,0,100,2,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0.0232841,0,2,2,0,100,2,2,8192,2,0,0,0,0,0,0.011648,2,0,2,0
0.209539,0,18,0,0,128.937,5,5,8187,0,0,0,0,9,0,6.39475,2,0,2,0
0.337657,0,29,0,0,183.148,7,7,8189,0,0,0,0,16,0,9.3184,2,0,2,0
0.477252,0,41,0,0,203.566,10,10,8189,0,0,0,0,22,0,11.1704,2,0,2,0
0.640449,0,55,0,0,204.511,12,12,8189,0,0,0,0,30,0,11.3335,2,0,2,0
0.593603,0,51,0,0,205.009,14,14,8189,0,0,0,0,28,0,11.3102,2,0,2,0
0.908148,0,78,0,0,206.746,17,17,8189,0,0,0,0,39,0,11.3684,2,0,2,0
1.02464,0,88,0,0,206.472,19,19,8190,0,0,0,0,46,0,11.5781,2,0,2,0
1.1878,0,102,0,0,209.255,22,22,8189,0,0,0,0,52,0,11.8227,2,0,2,0
1.31564,0,113,0,0,207.99,24,24,8189,0,0,0,0,58,0,12.3585,2,0,2,0
1.17561,0,101,0,0,208.542,26,26,8190,0,0,0,0,52,0,14.7231,2,0,2,0
1.59514,0,137,0,0,204.344,29,29,8190,0,0,0,0,70,0,17.8797,2,0,2,0
1.72325,0,148,0,0,204.058,31,31,8189,0,0,0,0,77,0,20.9664,2,0,2,0
1.87434,0,161,0,0,208.013,34,34,8186,0,0,0,0,83,0,28.6657,2,0,2,0
2.00289,0,172,0,0,205.07,36,36,8189,0,0,0,0,91,0,29.2714,2,0,2,0
2.10688,0,181,0,0,213.258,39,39,8189,0,0,0,0,95,0,22.4923,2,0,2,0
2.03754,0,175,0,0,205.196,41,41,8191,0,0,0,0,91,0,19.9297,2,0,2,0
2.30521,0,198,0,0,205.956,43,43,8189,0,0,0,0,99,0,17.9845,2,0,2,0
2.58466,0,222,0,0,204.683,46,46,8189,0,0,0,0,113,0,19.2658,2,0,2,0
2.73253,0,235,0,0,205.139,48,48,8191,0,0,0,0,118,0,18.1476,2,0,2,0
2.88486,0,248,0,0,209.092,51,51,8189,0,0,0,0,124,0,19.6385,2,0,2,0
2.96923,0,255,0,0,205.32,53,53,8189,0,0,0,0,130,0,22.271,2,0,2,0
2.68939,0,231,0,0,208.65,55,55,8191,0,0,0,0,119,0,21.5255,2,0,2,0
3.14344,0,270,0,0,205.378,58,58,8190,0,0,0,0,140,0,24.4259,2,0,2,0
3.42326,0,294,0,0,204.038,60,60,8189,0,0,0,0,149,0,24.0065,2,0,2,0
3.56131,0,306,0,0,212.616,63,63,8189,0,0,0,0,156,0,23.3892,2,0,2,0
3.6677,0,315,0,0,210.679,65,63,8189,0,0,0,0,159,0,21.642,2,0,2,0
2.7707,0,238,4,0,207.356,67,67,8167,4,0,0,0,107,3,24.6122,6,0,6,0
3.69077,0,317,0,0,206.832,69,69,8190,0,0,0,0,139,0,27.1282,6,0,6,0
4.07537,0,350,0,0,205.121,72,72,8190,0,0,0,0,177,0,25.9517,6,0,6,0
4.22682,0,363,0,0,208.014,74,74,8189,0,0,0,0,183,0,27.0117,6,0,6,0
4.39012,0,377,0,0,204.145,77,77,8189,0,0,0,0,190,0,23.4707,6,0,6,0
