SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.0226443,0,2,0,0,100,2,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
0.02329,0,2,2,0,100,2,2,8192,2,0,0,0,0,0,0.011648,2,0,2,0
0.15131,0,13,0,0,121.451,4,4,8189,0,0,0,0,7,0,5.64928,2,0,2,0
0.291155,0,25,0,0,178.302,6,6,8191,0,0,0,0,13,0,9.27181,2,0,2,0
0.442156,0,38,0,0,202.212,9,9,8191,0,0,0,0,18,0,10.5647,2,0,2,0
0.570522,0,49,0,0,205.934,11,11,8191,0,0,0,0,24,0,11.1471,2,0,2,0
0.686122,0,59,0,0,205.418,13,13,8191,0,0,0,0,29,0,11.5082,2,0,2,0
0.814463,0,70,0,0,204.746,16,16,8191,0,0,0,0,37,0,11.7761,2,0,2,0
0.802859,0,69,0,0,205.128,18,18,8191,0,0,0,0,36,0,12.1605,2,0,2,0
1.10601,0,95,0,0,205.551,20,20,8189,0,0,0,0,48,0,12.5216,2,0,2,0
1.23424,0,106,2,0,206.355,23,23,8189,1,0,0,0,55,1,13.1389,3,0,4,0
1.37216,0,118,0,0,204.576,25,25,8189,0,0,0,0,61,0,14.5367,3,0,4,0
1.48999,0,128,0,0,205.608,28,28,8189,0,0,0,0,68,0,18.3456,3,0,4,0
1.67679,0,144,0,0,206.3,30,30,8189,0,0,0,0,72,0,24.4608,3,0,4,0
1.61742,0,139,0,0,205.197,33,33,8187,0,0,0,0,72,0,44.7167,3,0,4,0
1.7923,0,154,0,0,205.022,35,35,8189,0,0,0,0,77,0,58.9855,3,0,4,0
2.09412,0,180,2,0,205.093,37,37,8189,2,0,0,0,88,2,61.2801,5,0,6,0
4.07141,0,350,0,0,206.121,100,100,8189,0,0,0,0,147,0,58.6593,5,0,6,0
8.27013,0,711,0,0,206.253,175,175,8189,0,0,0,0,323,0,50.4358,5,0,6,0
12.456,0,1070,0,0,206.529,250,250,8189,0,0,0,0,502,0,42.3055,5,0,6,0
15.8724,0,1364,0,0,205.188,323,323,8189,0,0,0,0,652,0,38.0191,5,0,6,0
19.7166,0,1694,0,0,205.012,395,395,8189,0,0,0,0,813,0,38.4966,5,0,6,0
25.2167,0,2174,1,0,206.667,472,472,8187,1,0,0,0,1044,1,37.0406,6,0,7,0
29.5495,0,2539,0,0,215.435,550,548,8189,0,0,0,0,1236,0,68.4786,6,0,7,0
32.1254,0,2760,0,0,205.529,623,621,8189,0,0,0,0,1350,0,34.4548,6,0,7,0
26.5977,0,2286,172,0,207.835,659,659,8189,172,0,0,0,717,18,37.856,178,0,179,0
3.73511,0,321,0,0,208.611,663,663,8191,0,0,0,0,85,0,34.4431,178,0,179,0
7.92145,0,682,663,0,207.798,9,9,8191,663,0,0,0,7,0,32.1718,841,0,842,0
1.8629,0,160,0,0,211.617,57,57,8189,0,0,0,0,58,0,29.0734,841,0,842,0
5.85211,0,503,0,0,206.083,131,131,8191,0,0,0,0,218,0,30.2266,841,0,842,0
8.69357,0,747,0,0,204.602,198,198,8189,0,0,0,0,343,0,63.9592,841,0,842,0
13.3716,0,1149,0,0,209.225,271,271,8189,0,0,0,0,539,0,41.2572,841,0,842,0
18.4902,0,1589,0,0,214.761,349,349,8189,0,0,0,0,759,0,118.099,841,0,842,0
21.9675,0,1887,0,0,206.876,424,422,8191,0,0,0,0,908,0,47.6869,841,0,842,0
25.6487,0,2203,0,0,205.413,498,496,8191,0,0,0,0,1067,0,49.6671,841,0,842,0
